number_series,answer,obfuscation,obfuscation_ground_truth
"22, 21, 23, 22, 24, 23, ...",25,"blue blue, blue indigo, blue green, blue blue, blue yellow, blue green, ",blue orange
"2, 5, 12.5, ...",31.25,"blue, orange, indigo blue orange, ",green indigo blue orange
"50, 45, 40, 35, 30, ...",25,"orange violet, yellow orange, yellow violet, green orange, green violet, ",blue orange
"11, 121, 15, ...",225,"indigo indigo, indigo blue indigo, indigo orange, ",blue blue orange
"2, 6, 12, 20, ...",30,"blue, red, indigo blue, blue violet, ",green violet
"240, 60, 15, 5, ...",2,"blue yellow violet, red violet, indigo orange, orange, ",blue
"2, 5, 10, 50, 500, 5000",5000,"blue, orange, indigo violet, orange violet, orange violet violet, orange violet violet violet",orange violet violet violet
"6, 16, 34, 62, 102, ?",156,"red, indigo red, green yellow, red blue, indigo violet blue, ",indigo orange red
"4, 2, 2, 3, 6, ?",15,"yellow, blue, blue, green, red, ",indigo orange
"1, 0, 6, -3, 40, 100",100,"indigo, violet, red, green, yellow violet, indigo violet violet",indigo violet violet
"5, 10, 30, 150, 600, 3600",150,"orange, indigo violet, green violet, indigo orange violet, red violet violet, green red violet violet",indigo orange violet
"225, 236, 260, 301, 355, 430",301,"blue blue orange, blue green red, blue red violet, green violet indigo, green orange orange, yellow green violet",green violet indigo
"660, 656, 620, 520, 324, ?",0,"red red violet, red orange red, red blue violet, orange blue violet, green blue yellow, ",violet
"0, 6, 24, 60, 120, ?",210,"violet, red, blue yellow, red violet, indigo blue violet, ",blue indigo violet
